I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,i am friendly person. i always likes to be in touch of people. i love to share my things with others. i expect too much. i gets disappoint easily. i am soft hearted. i am hardworking and do anything to get what i want. i help others beyond my limits. i feel others pain. I never forgets anyone favour. if someone loves me i loves two time. \i feel disappoint and disturbed when someone cheats on me. I am fun loving and very friendly to everyone around me.
Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,"I feel I am a quite even-keeled person when it comes to introversion versus extroversion.  I do not mind being the life of the party when it comes time to cut loose and get wild, but deep down I have a strong preference for lounging around by my lonesome and mellowing out with some games and music.  I like talking to people but at the same time I often prefer the company of my cats over the company of other human beings.  An ex girlfriend of mine used to call me a chameleon!"
Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,"I have always considered myself to be a good listener and a watcher of life. This trait of mine has been the fundamental source of my strength. It's the rainfall of my inner tears that has watered the seeds of the poetic and the philosophical side of me. I thrive on emotion and reason. I know that sounds like a conundrum but I was born a Gemini so what can I tell you. Even when I was a little boy under five years old, any significant emotion (especially sadness, anger, and jealousy) was always so hard for me. No one taught me how to identify or manage my feelings so I was on my own."
Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,"I am creative and have a lot of interest in art, music, writing and learning things. I seek knowledge and like to reflect on abstract ideas. I admire people who put in the effort to have original ideas and thoughts. I dislike dishonesty and lack of integrity. I have no respect for corrupt and greedy people who prey on other people to get ahead. I believe in working hard and working smart for the goals and dreams you have. I also like to have peace of mind and not engage in gossip or conflicts. I tend to avoid people that are confrontational and manipulative. I like to help people that are deserving and are trying to better themselves. "
Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,I am very much honest and straight forward. I want freedom in my life to go any where and do anything as i wish. I dont like control on me. I like to keep people happy around me. I like travelling to different places ad meet different people. I easily make friendship to all. I like veg food more than non veg. Masala items i like most. Ice cream is my favourite food ever. I believe in god. I like to visit more ancient  temples and like to know its history.
Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,My attitude is very smart when i am working in my office i am very talented person compare then other staff frequently my manager told to my other staff  and i love to cooking for my family members and purchasing a lot of thing for my family members and loved one i am really complex compare then other
Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,I like to help other who really deserve it and is compassionate and caring and always want to be truthful and sincere and like to be clean and like to follow good proverbs and try to apply them in my life.
Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,I’m very easy going. It doesn’t take a lot to make me happy. I don’t take anything for granted. Life is short and I was raised to always cherish family and friends to the fullest. I like living a simple life where I work hard and enjoy my off time.
Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Agree,i am usually a free minded person. I am usually motivated when going to office and doesn't neglect my duties and always try to be motivated and also try to motivate my colleagues. I like to help others who need genuine help. I am a simple guy and have a lovable and caring family. I usually don't take high risk. I am a low risk taker and always try to play safe. I work hard and want to work more harder to give happiness to my family. 
Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,"My name is Archana Mishra but I am usually called by pet name Gudiya. I am 12 years old, studying in 7th standard.

I am the second child of my parents and have an elder brother. I live in a joint family with my uncle, grandparents and cousins ​​in the same large house.

We love each other very much and are connected to grandparents. I have a group of friends but Sanika is my best and true friend.

I can share anything with him and that too we study in the same school but in different classes. I love telling jokes to my friends in the bus after school time.

I have a unique family. All my family members are broad and open minded. They always encourage me to do well in every field.

They never pull me back and always inspire me. I am very happy to be born in this family.

My family is a cross-cultural extended family where my uncles, aunts, grandparents, cousins, etc. live together.

I have a great time with my family as we celebrate each festival together. I help the other children of the family to do household chores every day.

"
Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,"The term personality has been defined in many ways, but as a psychological concept two main meanings have evolved. The first pertains to the consistent differences that exist between people: in this sense, the study of personality focuses on classifying and explaining relatively stable human psychological characteristics. The second meaning emphasizes those qualities that make all people alike and that distinguish"
Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,"i am a retired tutor. i love my family, friends, and Jesus. i am diligent, kind, and have a sense of humor. i like people and am very social but dont have a need to be around them all the time. i am smart and amusing. "
Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,"I am  very  punctual  and want to  do  all  my  work  the  right time. I like  to  eat  plain  and  healthy  food. I enjoy  dancing  reading books, playing  badminton  and  cooking  in  my  spare  time. I  never  leave  my  classes  and  also  attend  every  class.  I  go  to  school  daily  in  proper  uniform.  I  do  well  in  exams  whether  main  or  class  tests. I have  many  friend  but  palaver  is  my best  friend.  There  are  many  people  in  the world  who  have  different personalities .  It  is  the  personality that makes  everyone  different  and  different  from  others. We  can  never  see two  people  of  the  same  personality.  It  never changes  and  determines  the  quality  of  a  person.  I am  very  specific  in  this  world  have  a  unique  personality  compared  to  others.  I  am  a  very  responsible  and  sympathetic  person.  I  always  help  others  and  try my  best  to  solve  their  problem . "
Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,"I would describe my personality as very outgoing and social. I am easy to talk to and a good listener. I understood people and I make friends very easily. I'm rather carefree guy. I like what I like which is a lot, but that can change in a snap. I am outgoing with  a great sense of humor. I am willing to help anyone in need and when I'm in I'm all in. I am fairly easy going. I have good leadership qualities and am confident of myself. I'm able to keep a calm and level head whenever I am in situation of stress.  "
Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,"I am someone who tries their best to be there for people, but that only happens when my resources are stocked in some fashion. It's hard sometimes to have the energy to do a lot of things and my constant thoughts sap a lot of my energy. I want to help people, but I sometimes do so at the expense of my own well-being. I just want everyone to get along and to live well. I want to be a role model for others, but the energy of getting there is daunting."
Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,"I am both simple and complex. I am like everyone but uniquely me. Beauty captivates me and I see it everywhere. I love people and cherish my time alone. I am good at many things and great at none. I love my home and have a constant urge to travel.I am both very practical and very creative. I am friendly with many people but friends with few. Those I love, I love fiercely."
Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Agree,"I think there are different levels of my personality. I""m a hard worker who likes to get things done, but I also have a strong sense of humor.  I generally believe in work before play however.  I value relationships and people.  I like to do things efficiently so there is time to enjoy life. I am very competitive.  I enjoy being active and don't like to sit for vary long. "
Neutral,Disagree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,I'm strong-minded I believe in right is right no matter what the consequences. I'm a protector of children I feel like they are a gift from your creator and that it's your duty to do whatever to protect them so that they can mature to adulthood. I'm loyal and I believe that you should man up to all the decision one make no matter good or bad.
Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,"A misanthrope and hermit. Ill, alone and vulnerable. An atheist/agnostic who thinks religious superstition will be the downfall of civilization, and who wishers that all the right-wing Trumpian assholes would just DIE, already. Looking forward to death and oblivion. And yet, still unjustly curious and desirous of seeing what happens next. Life is an endless freak show, and is at any rate NOT dull. All in all, a guy you probably wouldn't want to meet. (And I'm happy to oblige you with my nonpresence."
