I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,"I am definitely an introvert, have always preferred books and quiet, solitary activities. I am agreeable, used to be a people-pleaser unable to say ""no"", still have some of that left. I am honest and hardworking, prefer to focus on my work and take care of all the details. I am not particularly open to new experiences but intellectually, I want to learn new things. I don't know about ""neuroticism"", I do have emotions but usually keep them under control."
Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,I'm a pretty open person. And that's got me into trouble. I've never been able to compare my neuroticism because I can't really imagine how other people feel inside and not many people that are good at expression. I'm pretty agreeable if I don't know you very well. Or I'm just tired of dealing with you. And I'm extraverted until I'm not. If I get tired I want to be alone. That should cover
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,"I have been a loner all my life. I don't mind being by myself, and crowds of noisy people exhaust me. I enjoy living a structured life, following a schedule, doing chores right away, but sometimes tend to be overwhelmed by my responsibilities. I don't enjoy being the center of attention, even when I'm receiving praise. I avoid conflict as much as I can, but will stand by my opinions if I think I'm right. I am creative, and engage in various creative endeavors like writing and gardening."
Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,"I try to get along with people. I am a good listener but can interrupt them while they are talking if I feel I have something important to say. I can be passive aggressive and can be borderline. I am open to doing new things and meeting new people but I have to be in the mood to. I am a neat freak and keep a very clean home. I vaccuum, do laundry, and dust on a regular basis. I like to stay in the background but will be outgoing with people I know well. "
Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,"I am a fairly adventurous and mostly outgoing person.  I get along with others well, though I wouldn't consider myself the life of the party.  I try to do right by people and treat them with respect whenever possible.  I do not wear my heart on my sleeve, but can empathize with others well.  I do seek out new places and people on my own terms, and enjoy traveling into other cultures."
Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,"I am not outgoing in the least and tend to keep to myself. I am capable of being friends with white knights and dark horses but tend to stray away from the more extremes in those groups. I am honest to a fault but always have aplan B for everyone in case I am backstabbed. I am stable and do not bend easily to issues or problems that arise, however I am not immune to being depressed or and angry form of meh. Lastly my pursuit of new experiences and hobbies is middling at best, only taking on new ones if they catch my interest.Thank you for coming to my ted talk."
Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,"I am definitely not an outgoing, people person. I am very introverted and require plenty of time to myself. I don't like conflict at all and am likely to go along with some things in order to avoid it. I prefer things to be organized and don't like messes. I don't really see myself as all that emotional, but recently I have been more anxious and stressed about everything...so maybe I'm more emotional than I've ever let myself believe. I'd like to think that I'm highly open to new experiences, and I do daydream a lot, but I also tend to be too afraid to try new things and worry about things that might go wrong. "
Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,I personally can be very extroverted and introverted depending on the situation. i really enjoy people's company but at the same time i love my me time as well. i tend to be very easygoing and agreeable because i feel like harmony is important. i am conscious of my surroundings and be mindful of others. i am very emotional and sympathetic whenever it comes to others so I like to try to help others as much as possible. finally i am very open to new experiences because i want to see what i really like and not like.
Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,"I like to be around people, but I would not call myself an extrovert. I also like time spent only by myself, this way I can clear my head and think about solving problems. I do not like to fight with people, I avoid disagreements whenever I can. I think that I am hard worker, being a teacher is not easy these days. I think that I am a little neurotic, too, bad and scary situations make me worry a lot. I like to travel, learn about other cultures, I can't wait when kids are older and we'll do more travelling with them. "
Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,I feel that I'm very outgoing. I'm definitely like meeting new people and doing new experiences. If I meet people that I like I'm usually pretty open about being friends with them
Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,I tend to have social connections and a need for that but would rather do things alone. I never adjust my behavior and let the chips fall where they may. I am very hardworking and I always get the job done but I am very hard on myself and others when they fail. I can be moody - upbeat one minute and downright hostile the next. My mood can swing wildly with the slightest provocation but I can control it when I need to. I am very open to experience and love new thrills and adventures - I am not one to stagnate at all. I like to create and explore. 
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,I am quite an introvert; I tend to keep to myself and am quite happy to be my own company. I am a homebody who enjoys hanging out at home by myself. I tend to be agreeable in order to avoid conflict. I am conscientious because I believe that work doing is worth doing well. I am quite neurotic; I tend to be worried and anxious most of the time. I am open to new experiences and enjoy trying something new whenever I have the opportunity to do so.
Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Disagree,"I am honest and mostly hardworking. I do prefer to work alone though. I am polite to people. But, I will be blunt if it is necessary. I do not mind if things are messy. But, I also like to clean up every so often. I do not get stressed much. I feel emotions sometimes. But, my mood is usually stable."
Strongly Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,"I have always had a very curious personality; always wanting and willing to learn about really anything. I've always sought that information by myself though as I am fairly anti-social, a real introvert if there ever was one. I tend to be polite with others, I don't get into arguments or fights, but I am not unwilling to express my opinions even if they disagree with others in the room. I'm a fairly low-stress person and I don't react to situations in a very emotional manner. I'm controlled and I like to think through my words before I speak. "
Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,"I enjoy spending time with others, but it is important for me to have my alone time as well to decompress and relax.  I am very good at collaboration and making people feel comfortable.  I am hardworking and it is important to me to fulfill my obligations and not make promises that I can't keep.  I am organized and pragmatic and prefer focusing on execution over strategy."
Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,"I am fairly modest and a little bit inhibited. I would say I am slightly introverted, but I do like spending time with people, including family and friends. I am easy going and relaxed. I am cooperative and get along well with people. I work hard and I am reliable and diligent. I am pretty honest, and I am punctual. I do what I say I will. I am not very assertive or aggressive. I am a pretty average person. I don't think too highly of myself. I am relatively calm and have few mood swings. I like exploring and experiencing new things. I plan for the future, and I am realistic. I like new ideas, and I am open to considering multiple viewpoints. I am respectful and nice to others."
Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,"I am very much of a loner and prefer working solo. I tend to be competitive rather than cooperative with others, and it's important that I prove myself to be superior intellectually, especially. I sometimes come off as callous and insensitive because I can be blunt and stand-offish. I distance myself because I'm not socially comfortable, so others think I am aloof. I tend to worry over everything that I can't control, and I often am in a blue mood. I don't experience wide mood swings, although I sometimes act a bit manic. I am not adventurous but I am creative and artistic. I am highly curious about why things happen, and I have a good imagination and enjoy reflecting on ideas. In debates, I'm the devil's advocate."
Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,"I belive in action and always keep myself busy to work and get knowledge. I work 15 hours per day and do not get time to meet people outside. I am serious about my career and  learned alot from realtime experiences from outside world, so prefered to be at home always and keep self engaged in work and god."
Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,"I prefer to spend time by myself, but would rather be with my husband than others. I am pretty lazy but when working for others I want to form a good impression. I'm not moody, and don't get depressed but somethings will cause me anxiety. I don't normally go looking for new experiences but take them more as they come. I'm down to earth and laid back. I don't normally start conversations with strangers but I'm polite to others and tend to be rather gullible."
